Card Name,Rarity,Set Name,Card Type,Pokemon Name,Market Price
Double Colorless Energy - 90/108 (NA Championship Promo) [Staff],Promo,League & Championship Cards,Energy,N/A,136.64
Darkness Energy (Special) (Winner),Promo,League & Championship Cards,Energy,N/A,70.00
Double Colorless Energy - 90/108 (Oceana Championship Promo),Promo,League & Championship Cards,Energy,N/A,49.99
Darkness Energy (Secret),Secret Rare,SM - Burning Shadows,Energy,N/A,46.94
Fairy Energy (Secret),Secret Rare,SM - Burning Shadows,Energy,N/A,43.71
Lightning Energy (2004-2005),Promo,Professor Program Promos,Energy,N/A,39.77
Darkness Energy (Basic),Common,Call of Legends,Energy,N/A,38.29
Lightning Energy (Secret),Secret Rare,SM - Guardians Rising,Energy,N/A,37.27
Double Colorless Energy (Secret),Secret Rare,SM - Guardians Rising,Energy,N/A,32.86
Fire Energy (Secret),Secret Rare,SM - Burning Shadows,Energy,N/A,32.15
Water Energy (WotC 2002 League Promo),Promo,League & Championship Cards,Energy,N/A,31.86
Grass Energy (Secret),Secret Rare,SM - Guardians Rising,Energy,N/A,31.42
Fighting Energy (Secret),Secret Rare,SM - Guardians Rising,Energy,N/A,30.82
Call Energy - 92/100 (League Promo),Promo,League & Championship Cards,Energy,N/A,30.00
Rainbow Energy,Rare,Aquapolis,Energy,N/A,29.99
Psychic Energy (Secret),Secret Rare,SM Base Set,Energy,N/A,29.94
Water Energy (Secret),Secret Rare,SM - Crimson Invasion,Energy,N/A,28.86
Lightning Energy (WotC 2002 League Promo),Promo,League & Championship Cards,Energy,N/A,28.00
Psychic Energy (WotC 2002 League Promo),Promo,League & Championship Cards,Energy,N/A,27.80
Metal Energy (Basic),Common,Call of Legends,Energy,N/A,25.71
Miracle Energy,Rare,Neo Destiny,Energy,N/A,25.40
Grass Energy,Common,Call of Legends,Energy,N/A,23.54
Rainbow Energy - 104/123 (League Promo),Promo,League & Championship Cards,Energy,N/A,22.95
Call Energy,Uncommon,Majestic Dawn,Energy,N/A,21.67
Rainbow Energy (Secret),Secret Rare,SM - Celestial Storm,Energy,N/A,21.05
Fighting Energy,Common,Call of Legends,Energy,N/A,20.36
Metal Energy (Secret),Secret Rare,SM Base Set,Energy,N/A,20.05
Lightning Energy,Common,Call of Legends,Energy,N/A,19.78
Scramble Energy,Uncommon,POP Series 4,Energy,N/A,19.50
Fire Energy,Common,Call of Legends,Energy,N/A,19.27
Water Energy,Common,Call of Legends,Energy,N/A,19.13
Psychic Energy,Common,Call of Legends,Energy,N/A,18.74
Fire Energy (WotC 2002 League Promo),Promo,League & Championship Cards,Energy,N/A,18.55
Rapid Strike Energy (Secret),Secret Rare,SWSH05: Battle Styles,Energy,N/A,17.81
Rainbow Energy (17),Holo Rare,Team Rocket,Energy,N/A,17.03
