Rarity,Set Name,Card Type,Pokemon Name,Market Price
Promo,League & Championship Cards,Energy,N/A,136.64
Promo,League & Championship Cards,Energy,N/A,70.0
Promo,League & Championship Cards,Energy,N/A,49.99
Secret Rare,SM - Burning Shadows,Energy,N/A,46.94
Secret Rare,SM - Burning Shadows,Energy,N/A,43.71
Promo,Professor Program Promos,Energy,N/A,39.77
Common,Call of Legends,Energy,N/A,38.29
Secret Rare,SM - Guardians Rising,Energy,N/A,37.27
Secret Rare,SM - Guardians Rising,Energy,N/A,32.86
Secret Rare,SM - Burning Shadows,Energy,N/A,32.15
Promo,League & Championship Cards,Energy,N/A,31.86
Secret Rare,SM - Guardians Rising,Energy,N/A,31.42
Secret Rare,SM - Guardians Rising,Energy,N/A,30.82
Promo,League & Championship Cards,Energy,N/A,30.0
Rare,Aquapolis,Energy,N/A,29.99
Secret Rare,SM Base Set,Energy,N/A,29.94
Secret Rare,SM - Crimson Invasion,Energy,N/A,28.86
Promo,League & Championship Cards,Energy,N/A,28.0
Promo,League & Championship Cards,Energy,N/A,27.8
Common,Call of Legends,Energy,N/A,25.71
Rare,Neo Destiny,Energy,N/A,25.4
Common,Call of Legends,Energy,N/A,23.54
Promo,League & Championship Cards,Energy,N/A,22.95
Uncommon,Majestic Dawn,Energy,N/A,21.67
Secret Rare,SM - Celestial Storm,Energy,N/A,21.05
Common,Call of Legends,Energy,N/A,20.36
Secret Rare,SM Base Set,Energy,N/A,20.05
Common,Call of Legends,Energy,N/A,19.78
Uncommon,POP Series 4,Energy,N/A,19.5
Common,Call of Legends,Energy,N/A,19.27
Common,Call of Legends,Energy,N/A,19.13
Common,Call of Legends,Energy,N/A,18.74
Promo,League & Championship Cards,Energy,N/A,18.55
Secret Rare,SWSH05: Battle Styles,Energy,N/A,17.81
Holo Rare,Team Rocket,Energy,N/A,17.03
Promo,League & Championship Cards,Energy,N/A,16.58
Promo,League & Championship Cards,Energy,N/A,16.17
Promo,League & Championship Cards,Energy,N/A,15.0
Secret Rare,SM - Forbidden Light,Energy,N/A,14.85
Secret Rare,SWSH05: Battle Styles,Energy,N/A,14.63
Secret Rare,SM - Unified Minds,Energy,N/A,14.28
Promo,League & Championship Cards,Energy,N/A,14.03
Secret Rare,SWSH03: Darkness Ablaze,Energy,N/A,13.28
Common,HeartGold SoulSilver,Energy,N/A,13.19
Promo,League & Championship Cards,Energy,N/A,13.09
Promo,League & Championship Cards,Energy,N/A,13.02
Uncommon,Base Set (Shadowless),Energy,N/A,12.81
Rare,Emerald,Energy,N/A,12.33
Rare,Team Magma vs Team Aqua,Energy,N/A,12.02
Holo Rare,Neo Genesis,Energy,N/A,11.49
Secret Rare,SWSH02: Rebel Clash,Energy,N/A,11.45
Holo Rare,Emerald,Energy,N/A,11.3
Promo,League & Championship Cards,Energy,N/A,10.89
Secret Rare,SM - Ultra Prism,Energy,N/A,10.74
Promo,League & Championship Cards,Energy,N/A,10.73
Promo,League & Championship Cards,Energy,N/A,10.67
Common,HeartGold SoulSilver,Energy,N/A,10.67
Secret Rare,SM - Unbroken Bonds,Energy,N/A,10.61
Common,HeartGold SoulSilver,Energy,N/A,10.25
Holo Rare,Emerald,Energy,N/A,9.99
Uncommon,Skyridge,Energy,N/A,9.84
Common,HeartGold SoulSilver,Energy,N/A,9.51
