Market Price,Rarity_Common,Rarity_Holo Rare,Rarity_Prism Rare,Rarity_Promo,Rarity_Rare,Rarity_Rare Ace,Rarity_Rare BREAK,Rarity_Secret Rare,Rarity_Shiny Holo Rare,Rarity_Ultra Rare,Rarity_Uncommon,Card Type_Item,Card Type_Pokemon,Card Type_Stadium,Card Type_Supporter,Card Type_Tool
136.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32.86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31.86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31.42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28.86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
